1			6996.825924439882
2			500
3			1773.7339158834989
4			2511.9057424347
5			500
6			500
7			500
8			500
9			2129.2916509283327
10			500.0
11			5739.913607964776
12			500.0
13			500
14			500.0
15			500
16			500
17			500
18			500
19			1895.868991400159
20			793.5307364384142
21			500.0
22			500.0
23			500
24			500.0
25			500
26			500
27			500
28			500
29			500.0
30			500
31			500.0
32			1226.502052445986
33			500
34			1846.5008304722905
35			500.0
36			500.0
37			500.0
38			500.0
39			3402.3308078423074
40			11122.336549553054
41			500.0
42			4314.385757774957
43			500.0
44			25129.099547463084
45			500.0
46			727.8890824178249
47			2269.9369469379862
48			758.0795515017589
49			566.4283143198488
50			11505.741078154742
51			2269.9369469379862
52			11573.146622380518
53			12387.130365290313
54			12116.542561058855
55			545.6343160090782
56			500.0
57			5891.470749224315
58			659.3179271762979
59			14839.052989360192
60			500.0
61			500
62			501.2545962647449
63			508.814442601217
64			500.0
65			500.0
66			500.0
67			500.0
68			500.0
69			500.0
